N	3gram	Losev_Vlad	slovoVRo
1	не может быть	4	19
2	в то же	7	18
3	то же время	7	18
4	и т д	3	10
5	более или менее	5	9
6	во всяком случае	8	8
7	но в то	2	7
8	как мы сказали	2	6
9	с другой стороны	3	6
10	и в то	3	6
11	в том что	13	5
12	в этом отношении	2	5
13	не только в	3	5
14	как мы уже	3	5
15	на первый план	4	4
16	для того чтобы	3	4
17	мы уже сказали	2	4
18	а также и	2	4
19	можно сказать что	3	4
20	в свою очередь	2	4
21	в связи с	7	3
22	и в частности	3	2
23	он никогда не	2	2
24	о том что	9	2
25	хотя и не	2	2
26	в то время	6	2
27	и в том	2	2
28	до некоторой степени	2	2
29	уже не только	2	2
30	то время как	2	2
31	тем не менее	8	2
