N	2gram	Losev_Prob_1	Analitik
1	в качестве	2	31
2	может быть	14	29
3	в том	9	27
4	не может	8	22
5	и не	31	21
6	и в	32	18
7	а не	15	17
8	но и	9	17
9	отнюдь не	10	15
10	не только	17	15
11	не в	4	14
12	как и	3	13
13	в его	6	13
14	в этом	19	13
15	том что	12	12
16	при этом	6	12
17	в себе	15	11
18	то есть	33	11
19	но не	9	10
20	то же	10	9
21	а в	4	9
22	в то	6	9
23	есть не	6	8
24	текста и	5	8
25	не есть	29	8
26	но в	14	8
27	к тому	3	7
28	особого рода	2	7
29	тем самым	4	7
30	это не	6	6
31	прежде всего	10	6
32	или иной	5	6
33	в самом	6	6
34	в сущности	2	6
35	в случае	3	6
36	той или	5	6
37	далеко не	5	6
38	то что	42	6
39	в своей	8	6
40	точки зрения	3	6
41	только в	7	6
42	мы имеем	2	6
43	я и	2	6
44	и того	2	5
45	и как	6	5
46	в этой	10	5
47	что в	12	5
48	такого рода	7	5
49	как бы	14	5
50	в их	4	5
51	и его	3	5
52	между тем	2	5
53	и на	8	5
54	что иное	2	5
55	о том	11	5
56	иное как	2	5
57	того что	7	4
58	могут быть	2	4
59	с другой	3	4
60	по себе	15	4
61	в литературе	4	4
62	не что	2	4
63	ни в	7	4
64	того же	3	4
65	для того	8	4
66	в области	2	4
67	вместе с	2	4
68	так и	12	4
69	собственно говоря	2	4
70	данного художественного	2	4
71	именно в	4	4
72	уже не	3	4
73	с точки	3	4
74	с другими	2	4
75	с ним	3	4
76	не могут	2	3
77	с его	2	3
78	однако не	3	3
79	и есть	6	3
80	однако в	2	3
81	хотя бы	3	3
82	и все	7	3
83	или иного	2	3
84	в нем	13	3
85	что он	7	3
86	и т	11	3
87	еще не	9	3
88	что не	3	3
89	он не	3	3
90	о нем	3	3
91	в котором	5	3
92	не будет	2	3
93	а именно	12	3
94	смысл и	3	3
95	таким образом	6	3
96	того чтобы	9	3
97	того или	2	3
98	к нему	3	3
99	в таком	9	3
100	тому как	2	3
101	подобно тому	2	3
102	как будто	3	3
103	что мы	13	3
104	разного рода	6	3
105	вопроса о	2	3
106	как он	4	3
107	а также	4	3
108	если бы	4	3
109	таком случае	6	3
110	только для	3	2
111	может иметь	2	2
112	и то	6	2
113	не являются	5	2
114	только не	3	2
115	никогда не	7	2
116	однако здесь	3	2
117	все эти	8	2
118	для этого	3	2
119	но о	2	2
120	не является	5	2
121	из этих	2	2
122	не просто	23	2
123	говорит и	3	2
124	вовсе не	35	2
125	или иных	2	2
126	можно сказать	5	2
127	тех или	3	2
128	в искусстве	3	2
129	самое время	4	2
130	то в	5	2
131	и потому	2	2
132	должно быть	2	2
133	для него	2	2
134	с целью	4	2
135	или не	3	2
136	случае не	3	2
137	было бы	8	2
138	несмотря на	3	2
139	на его	2	2
140	для чего	2	2
141	за пределы	6	2
142	и о	8	2
143	она есть	5	2
144	понимать как	2	2
145	не о	2	2
146	и является	7	2
147	логического анализа	2	2
148	нет и	2	2
149	сами по	3	2
150	и эстетики	3	2
151	один из	4	2
152	из них	3	2
153	не говоря	4	2
154	и до	2	2
155	данном случае	8	2
156	что же	9	2
157	другой стороны	3	2
158	здесь не	7	2
159	на самом	6	2
160	самом деле	6	2
161	свидетельствует о	3	2
162	едва ли	2	2
163	текст и	2	2
164	сколько бы	2	2
165	особенно в	2	2
166	как мы	7	2
167	на себя	2	2
168	то он	2	2
169	также и	11	2
170	тем более	5	2
171	все прочие	2	2
172	для себя	3	2
173	в данном	9	2
174	одного и	2	2
175	же самое	9	2
176	и заключается	2	2
177	при помощи	13	2
178	в первом	2	2
179	которые в	2	2
180	нет ничего	10	2
181	так как	11	2
182	потому что	16	2
183	в которой	2	2
184	в сознании	5	2
185	и с	2	2
