N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	49
2	то есть	46	32
3	прежде всего	13	19
4	в его	43	18
5	не только	9	17
6	и его	16	17
7	и на	3	17
8	и не	42	15
9	в этом	15	15
10	в них	5	13
11	только в	13	13
12	но и	9	13
13	как и	7	11
14	как бы	22	11
15	вовсе не	2	10
16	все это	3	9
17	в романе	4	9
18	и др	8	9
19	в нем	15	9
20	отношение к	10	8
21	все же	6	7
22	не может	27	7
23	таким образом	10	7
24	то же	5	7
25	все эти	5	7
26	как мы	7	7
27	то что	8	6
28	в истории	2	6
29	в себя	2	6
30	же время	3	6
31	здесь в	2	6
32	во всех	11	6
33	так и	5	6
34	рядом с	5	6
35	сказать что	4	6
36	и с	17	6
37	точки зрения	8	6
38	в то	4	6
39	с его	2	5
40	никогда не	5	5
41	в своем	5	5
42	в начале	2	5
43	но не	12	5
44	при этом	5	5
45	может быть	26	5
46	и потому	4	5
47	относится к	4	5
48	в своей	7	5
49	в особенности	2	5
50	с точки	6	5
51	и более	2	4
52	с другой	7	4
53	и во	2	4
54	и к	3	4
55	в себе	4	4
56	том что	3	4
57	этот момент	2	4
58	одна из	2	4
59	и о	5	4
60	в своих	2	4
61	в этих	2	4
62	в форме	4	4
63	в известной	3	4
64	отношения к	6	4
65	не было	2	4
66	а в	6	4
67	лишь в	2	4
68	в области	11	4
69	тем что	2	4
70	там где	6	4
71	с ним	5	4
72	но в	4	4
73	место в	8	3
74	но они	4	3
75	с одной	3	3
76	другими словами	2	3
77	но здесь	3	3
78	его целом	5	3
79	что он	2	3
80	в ее	4	3
81	в том	8	3
82	да и	3	3
83	во всем	2	3
84	в значительной	2	3
85	не дает	2	3
86	одной стороны	3	3
87	было бы	8	3
88	несмотря на	3	3
89	в самом	7	3
90	точка зрения	3	3
91	ни в	11	3
92	связь с	3	3
93	другой стороны	4	3
94	этом отношении	2	3
95	и все	3	3
96	и других	2	3
97	культуры и	3	3
98	менее всего	3	3
99	к нему	10	3
100	можно было	4	3
101	также и	3	3
102	и вообще	2	3
103	далеко не	5	3
104	о том	4	3
105	и это	3	3
106	в плане	7	3
107	в виду	4	3
108	человек в	2	2
109	связи с	2	2
110	что в	7	2
111	на фоне	3	2
112	могут быть	5	2
113	перестает быть	4	2
114	за пределы	12	2
115	в нашем	4	2
116	вследствие этого	3	2
117	для понимания	2	2
118	на то	2	2
119	в тех	3	2
120	можно сказать	2	2
121	в самой	2	2
122	по существу	2	2
123	в дальнейшем	3	2
124	но это	3	2
125	лишь как	4	2
126	связаны с	2	2
127	здесь же	2	2
128	все что	3	2
129	ничего не	6	2
130	мы здесь	4	2
131	в пределах	6	2
132	еще не	7	2
133	и другие	2	2
134	со всеми	3	2
135	по поводу	2	2
136	события и	2	2
137	совершенно не	7	2
138	в эстетике	2	2
139	хотя и	3	2
140	в ней	4	2
141	в него	2	2
142	природу и	3	2
143	в мире	3	2
144	в их	10	2
145	не во	2	2
146	в связи	2	2
147	форм и	2	2
148	на материале	3	2
149	на самом	4	2
150	того чтобы	2	2
151	и эта	2	2
152	и даже	3	2
153	дает нам	2	2
154	и прежде	5	2
155	особенно в	2	2
156	на основе	6	2
157	и значение	2	2
158	одной из	3	2
159	нуждается в	2	2
160	как к	2	2
161	в другом	2	2
162	мы должны	2	2
163	в художественном	20	2
164	в произведении	4	2
165	здесь не	4	2
166	на мир	2	2
167	и становится	7	2
168	мы можем	6	2
