N	2gram	Tiupa_Anal_3	Myshleni
1	точки зрения	3	26
2	таким образом	4	26
3	в том	9	24
4	и в	18	23
5	том что	12	21
6	в целом	3	20
7	с точки	2	18
8	то что	2	17
9	в этом	14	17
10	не только	22	16
11	что в	9	14
12	может быть	9	14
13	но и	13	14
14	как и	14	14
15	в его	7	14
16	не может	2	12
17	как бы	10	11
18	сказать что	2	11
19	представляет собой	5	11
20	с другой	7	10
21	прежде всего	5	10
22	в качестве	12	9
23	одной стороны	2	9
24	не является	5	9
25	другой стороны	5	9
26	и не	12	9
27	между тем	5	9
28	вместе с	2	9
29	с одной	2	8
30	и на	4	8
31	то же	3	8
32	как уже	2	7
33	в этой	6	7
34	в самом	5	7
35	по отношению	7	7
36	в то	3	7
37	с тем	2	7
38	что он	4	7
39	отношению к	7	7
40	мы не	3	7
41	и ее	2	7
42	столь же	4	6
43	все это	3	6
44	именно в	3	6
45	лишь в	5	6
46	могли бы	2	6
47	с этим	3	6
48	о том	6	6
49	в сущности	5	6
50	и его	13	6
51	мы можем	2	6
52	тем что	2	6
53	в себе	2	6
54	только в	2	6
55	перед нами	4	5
56	можно сказать	4	5
57	и как	4	5
58	по себе	4	5
59	что мы	2	5
60	и все	2	5
61	но в	2	5
62	по своей	2	5
63	он не	6	5
64	так и	14	5
65	тем самым	4	5
66	и т.д	2	5
67	но не	7	4
68	в свою	5	4
69	не в	6	4
70	при этом	11	4
71	что она	2	4
72	все эти	2	4
73	не столько	3	4
74	этом отношении	3	4
75	в результате	5	4
76	с его	8	4
77	одну из	2	4
78	для всех	2	4
79	в одном	4	4
80	к этому	3	4
81	и к	4	4
82	было бы	3	4
83	к тому	6	4
84	как в	3	4
85	приводит к	4	4
86	как раз	7	4
87	этого слова	2	4
88	уже в	3	3
89	говоря словами	2	3
90	в своем	4	3
91	и от	2	3
92	из этих	3	3
93	в заключительной	4	3
94	свою очередь	4	3
95	что они	3	3
96	обе эти	2	3
97	в общем	2	3
98	в их	6	3
99	который в	3	3
100	отношения к	2	3
101	его не	3	3
102	во всем	3	3
103	всяком случае	2	3
104	в новом	2	3
105	об этом	2	3
106	во всех	2	3
107	все же	4	3
108	самом деле	2	3
109	а не	9	3
110	во всяком	2	3
111	могут быть	2	3
112	ответ на	3	3
113	ничего не	3	3
114	в противоположность	2	2
115	в частности	12	2
116	никогда не	5	2
117	в конце	5	2
118	же время	3	2
119	для него	6	2
120	о чем	4	2
121	несмотря на	2	2
122	хотя и	2	2
123	один из	2	2
124	не с	2	2
125	данном случае	3	2
126	значительной степени	2	2
127	той же	5	2
128	и вот	2	2
129	в слове	5	2
130	и той	2	2
131	и даже	8	2
132	бы и	2	2
133	а в	10	2
134	нуждается в	2	2
135	говорить о	3	2
136	в первом	2	2
137	как это	3	2
138	в них	2	2
139	поэтому в	2	2
140	есть не	2	2
141	в ее	3	2
142	в значительной	2	2
143	указывает на	3	2
144	со всеми	2	2
145	иначе говоря	2	2
146	и потому	2	2
147	даже в	2	2
148	как говорит	3	2
149	когда он	2	2
150	на примере	2	2
151	ключ к	3	2
152	одной и	2	2
153	уже не	5	2
154	в данном	4	2
155	вопроса о	2	2
156	дело в	2	2
157	там где	2	2
158	едва ли	3	2
