N	2gram	Losev_Prob_1	Myshleni
1	и в	32	25
2	мышления и	4	23
3	в том	9	23
4	том что	12	20
5	что в	12	17
6	так же	9	17
7	таким образом	6	17
8	с тем	5	16
9	как и	3	15
10	то что	42	15
11	в его	6	15
12	в этом	19	14
13	вместе с	2	14
14	может быть	14	13
15	так как	11	12
16	в качестве	2	12
17	по своему	9	11
18	перед нами	5	10
19	что они	3	10
20	как бы	14	10
21	и не	31	10
22	и что	9	10
23	того что	7	10
24	было бы	8	10
25	только в	7	10
26	связи с	5	9
27	как в	4	9
28	мы не	2	9
29	ни в	7	9
30	того чтобы	9	8
31	не является	5	8
32	тем что	7	8
33	как мы	7	8
34	уже в	3	7
35	является то	2	7
36	все эти	8	7
37	что мы	13	7
38	как это	6	7
39	по себе	15	7
40	для того	8	7
41	мы можем	4	7
42	в области	2	7
43	не менее	19	6
44	с другой	3	6
45	не в	4	6
46	же как	2	6
47	один из	4	6
48	не может	8	6
49	в связи	4	6
50	и на	8	6
51	потому что	16	6
52	мы должны	5	6
53	что он	7	6
54	в отношении	3	6
55	но не	9	6
56	того же	3	6
57	со всеми	2	6
58	не только	17	6
59	точки зрения	3	6
60	все это	7	6
61	можно было	3	6
62	так и	12	5
63	именно в	4	5
64	что это	3	5
65	тем не	18	5
66	и как	6	5
67	но это	8	5
68	для него	2	5
69	при этом	6	5
70	что она	5	5
71	на этой	2	5
72	если бы	4	5
73	в понятии	2	5
74	мы уже	5	5
75	о том	11	5
76	входит в	4	5
77	могут быть	2	5
78	в этой	10	5
79	и другое	2	5
80	не могут	2	4
81	никогда не	7	4
82	в своем	5	4
83	из этих	2	4
84	прежде всего	10	4
85	на то	8	4
86	к тому	3	4
87	предметов и	6	4
88	всяком случае	3	4
89	отнюдь не	10	4
90	из них	3	4
91	но и	9	4
92	то и	6	4
93	а в	4	4
94	сказать что	13	4
95	в то	6	4
96	с ним	3	4
97	мы имеем	2	4
98	с этим	3	4
99	и все	7	4
100	что оно	3	4
101	тем и	2	4
102	и того	2	4
103	одного и	2	4
104	еще не	9	4
105	мы увидим	3	4
106	мы говорили	4	4
107	он не	3	4
108	что понятие	3	4
109	которые не	3	4
110	во всяком	7	4
111	и это	9	4
112	значит что	3	4
113	как оно	3	3
114	в самом	6	3
115	не можем	2	3
116	в него	2	3
117	в котором	5	3
118	на том	4	3
119	другой стороны	3	3
120	но только	2	3
121	понятия и	2	3
122	в которых	3	3
123	в результате	2	3
124	их в	4	3
125	между тем	2	3
126	его в	6	3
127	как он	4	3
128	с которыми	4	3
129	и которые	5	3
130	в случае	3	3
131	по этому	3	3
132	не как	2	3
133	в жизни	3	3
134	но как	6	3
135	мы видим	2	3
136	то в	5	3
137	или иной	5	3
138	сами по	3	3
139	не есть	29	3
140	или менее	3	3
141	если мы	11	3
142	является в	2	3
143	в виде	15	3
144	ничего общего	11	3
145	которые в	2	3
146	это обобщение	2	3
147	того как	3	3
148	то же	10	2
149	все время	2	2
150	мы будем	2	2
151	в общей	2	2
152	можно ли	5	2
153	в этих	3	2
154	тому что	4	2
155	эти последние	2	2
156	мы называем	2	2
157	и понятие	2	2
158	понятие и	2	2
159	для нас	5	2
160	так что	6	2
161	но все	3	2
162	мы и	4	2
163	является не	2	2
164	смысле слова	7	2
165	он стоит	2	2
166	не стоит	2	2
167	такого рода	7	2
168	как они	2	2
169	хотя и	6	2
170	той или	5	2
171	в нем	13	2
172	для обозначения	4	2
173	для этого	3	2
174	и только	4	2
175	только после	2	2
176	которых мы	2	2
177	который мы	2	2
178	должно быть	2	2
179	от всех	2	2
180	на себя	2	2
181	предметы в	4	2
182	на его	2	2
183	и здесь	6	2
184	ни на	4	2
185	того или	2	2
186	функции в	4	2
187	от другого	2	2
188	говорили выше	2	2
189	с его	2	2
190	всех этих	7	2
191	однако в	2	2
192	в них	7	2
193	и во	3	2
194	этом смысле	6	2
195	говорит и	3	2
196	ясно что	3	2
197	или иного	2	2
198	конечно в	2	2
199	и заключается	2	2
200	на первый	2	2
201	об этом	10	2
202	же в	4	2
203	для всего	2	2
204	только потому	3	2
205	в таком	9	2
206	есть и	3	2
207	указывает на	14	2
208	это мы	2	2
209	и может	2	2
210	мы в	3	2
211	которые являются	2	2
212	и потому	2	2
213	а также	4	2
214	оно не	3	2
215	и особенно	2	2
216	всем этом	2	2
217	не будет	2	2
218	в своей	8	2
219	мы никогда	3	2
220	только что	2	2
221	уже не	3	2
222	тем самым	4	2
223	на этот	3	2
224	едва ли	2	2
225	и для	4	2
226	и его	3	2
227	или в	4	2
228	или иначе	2	2
229	с другими	2	2
230	тому как	2	2
231	и то	6	2
232	говорили что	2	2
233	в каком	3	2
234	в себе	15	2
235	в чем	3	2
236	в эту	2	2
