N	2gram	Medvedev_V_1	Problema
1	то что	6	42
2	вовсе не	3	35
3	и в	26	32
4	и не	19	31
5	не менее	2	19
6	в этом	26	19
7	не только	25	17
8	по себе	2	15
9	а не	7	15
10	в себе	6	15
11	как бы	5	14
12	может быть	22	14
13	у нас	2	14
14	но в	2	14
15	в нем	6	13
16	сказать что	5	13
17	что мы	2	13
18	при помощи	3	13
19	как раз	3	13
20	что в	10	12
21	том что	8	12
22	так и	5	12
23	и т	23	11
24	и даже	2	11
25	также и	2	11
26	о том	10	11
27	то же	10	10
28	прежде всего	13	10
29	в этой	4	10
30	т д	14	10
31	отнюдь не	3	10
32	об этом	9	10
33	но не	2	9
34	в том	15	9
35	но и	10	9
36	так же	3	9
37	же самое	2	9
38	художественный образ	5	9
39	еще не	2	9
40	того чтобы	3	9
41	не может	17	8
42	все эти	6	8
43	даже и	3	8
44	он и	2	8
45	было бы	7	8
46	в своей	4	8
47	для того	3	8
48	и ее	4	8
49	никогда не	4	7
50	смысле слова	2	7
51	между собою	2	7
52	все это	10	7
53	того что	3	7
54	всех этих	2	7
55	в них	4	7
56	что он	4	7
57	во всех	6	7
58	только в	7	7
59	и есть	5	6
60	в конце	3	6
61	и как	3	6
62	в самом	4	6
63	хотя и	2	6
64	в виду	4	6
65	таким образом	31	6
66	это не	7	6
67	но как	3	6
68	говорить о	2	6
69	его в	3	6
70	как это	12	6
71	о чем	2	6
72	в то	6	6
73	в его	14	6
74	что такое	2	6
75	перед нами	4	5
76	можно ли	2	5
77	в своем	8	5
78	или иной	2	5
79	можно сказать	4	5
80	в котором	3	5
81	что она	2	5
82	еще и	2	5
83	в сознании	4	5
84	с тем	3	5
85	не является	5	5
86	связи с	4	5
87	действительности и	7	5
88	далеко не	2	5
89	и весь	2	4
90	именно в	2	4
91	тому что	6	4
92	не в	6	4
93	по поводу	2	4
94	один из	5	4
95	только то	2	4
96	после этого	2	4
97	в их	5	4
98	не было	7	4
99	или в	3	4
100	а в	3	4
101	их в	6	4
102	как он	2	4
103	конце концов	2	4
104	иметь в	2	4
105	если бы	3	4
106	же в	6	4
107	и для	2	4
108	вообще и	2	4
109	в связи	3	4
110	что не	3	3
111	объективной действительности	15	3
112	с другой	11	3
113	что все	3	3
114	его от	2	3
115	что его	2	3
116	что они	3	3
117	более или	6	3
118	но для	2	3
119	хотя бы	19	3
120	из них	9	3
121	другой стороны	8	3
122	и его	6	3
123	что оно	3	3
124	в которых	3	3
125	же и	2	3
126	с этим	3	3
127	точки зрения	3	3
128	в искусстве	6	3
129	только не	2	3
130	по этому	9	3
131	в жизни	2	3
132	говорит и	8	3
133	в ее	4	3
134	как и	7	3
135	объективного мира	2	3
136	к тому	4	3
137	он не	2	3
138	говорит о	7	3
139	или менее	6	3
140	этому поводу	7	3
141	во всей	2	3
142	можно было	2	3
143	пока еще	2	3
144	в чем	2	3
145	значит что	2	3
146	он сам	2	2
147	не могут	7	2
148	же как	2	2
149	о процессе	2	2
150	это мы	3	2
151	в целях	2	2
152	крайней мере	2	2
153	является не	4	2
154	это только	4	2
155	момент в	3	2
156	для него	8	2
157	например в	3	2
158	не о	2	2
159	этой области	3	2
160	должно быть	2	2
161	мы наблюдаем	2	2
162	по его	2	2
163	что для	3	2
164	понимать как	2	2
165	в результате	5	2
166	действующих лиц	5	2
167	знаем что	2	2
168	чем же	4	2
169	из этих	7	2
170	к его	2	2
171	того или	2	2
172	мы имеем	3	2
173	между тем	5	2
174	том как	3	2
175	что ни	2	2
176	с его	3	2
177	могут быть	5	2
178	которые обычно	2	2
179	по крайней	2	2
180	у пушкина	2	2
181	значит и	3	2
182	и заключается	2	2
183	о его	2	2
184	по существу	3	2
185	что пишет	2	2
186	и при	5	2
187	в качестве	11	2
188	она не	3	2
189	и может	2	2
190	о своем	2	2
191	между прочим	2	2
192	и потому	2	2
193	нет и	3	2
194	вместе с	7	2
195	ее в	4	2
196	только что	4	2
197	самый факт	2	2
198	естественно что	2	2
199	с другими	2	2
200	тому как	2	2
201	собою и	2	2
202	подобно тому	2	2
203	которые в	2	2
204	в науке	2	2
205	в которой	2	2
206	в области	2	2
207	что нет	2	2
