N	2gram	Losev_Dial_4	Problemy
1	и в	15	35
2	как бы	14	31
3	и не	30	27
4	что он	7	24
5	в его	4	21
6	но в	3	19
7	не может	11	18
8	как и	7	18
9	в нем	5	16
10	то же	9	15
11	и все	11	15
12	но и	4	14
13	может быть	17	14
14	все это	9	14
15	в сущности	5	14
16	и его	7	14
17	в этом	11	14
18	что я	5	13
19	у достоевского	2	12
20	прежде всего	11	12
21	и с	4	12
22	в то	6	11
23	не в	8	10
24	же время	6	10
25	не только	8	10
26	то что	16	10
27	в отношении	2	9
28	я не	5	8
29	так и	5	8
30	себя и	3	8
31	потому что	10	8
32	мы уже	3	8
33	все же	2	8
34	и слово	2	8
35	и для	5	8
36	слово о	2	7
37	лишь в	2	7
38	так же	4	7
39	и наконец	3	7
40	точки зрения	14	7
41	с ним	3	7
42	с его	5	7
43	вовсе не	6	7
44	еще не	4	7
45	себе и	2	7
46	что же	2	7
47	в виде	3	7
48	отношении к	2	7
49	таким образом	5	7
50	что в	7	6
51	но это	4	6
52	что они	4	6
53	и что	9	6
54	в самом	2	6
55	и на	5	6
56	в одном	4	6
57	от него	3	6
58	только в	7	6
59	в том	11	5
60	да и	2	5
61	так что	6	5
62	от себя	2	5
63	и даже	6	5
64	с ними	4	5
65	как в	3	5
66	к своему	2	5
67	и то	3	5
68	в себе	8	5
69	и это	8	5
70	никогда не	2	4
71	та же	3	4
72	но все	2	4
73	не о	4	4
74	же и	2	4
75	вот как	2	4
76	и вот	11	4
77	и так	2	4
78	той или	4	4
79	но как	2	4
80	ведь и	2	4
81	так как	14	4
82	бы в	4	4
83	сознания и	3	4
84	как раз	4	4
85	в них	2	4
86	по себе	13	4
87	так чтобы	3	4
88	во всем	2	4
89	нет и	2	4
90	в своей	3	4
91	а не	18	4
92	что не	3	4
93	и без	2	4
94	во всяком	2	4
95	тем что	2	4
96	как будто	2	4
97	что это	13	4
98	в чем	8	4
99	тотчас же	3	4
100	то ни	4	3
101	в виду	9	3
102	с ее	10	3
103	из них	2	3
104	другой стороны	2	3
105	все эти	3	3
106	это как	2	3
107	но только	5	3
108	не мог	2	3
109	того что	13	3
110	должно быть	2	3
111	это не	12	3
112	сказать что	6	3
113	и во	2	3
114	даже и	3	3
115	говорить о	11	3
116	мы должны	4	3
117	себя как	3	3
118	в котором	2	3
119	с тем	4	3
120	не как	4	3
121	с этим	3	3
122	этом смысле	4	3
123	в ее	2	3
124	это и	9	3
125	том что	10	3
126	было бы	9	3
127	за пределы	3	3
128	во всех	2	3
129	что и	6	3
130	когда он	3	3
131	только что	2	3
132	уже не	9	3
133	ничего не	17	3
134	вы не	3	2
135	не менее	2	2
136	для этого	2	2
137	с этой	2	2
138	я уже	3	2
139	что все	4	2
140	вопрос о	2	2
141	что на	2	2
142	ни в	8	2
143	без всякого	2	2
144	на этом	3	2
145	но что	5	2
146	что с	2	2
147	она в	3	2
148	при этом	2	2
149	совпадает с	2	2
150	хотя и	6	2
151	мог бы	2	2
152	можем сказать	2	2
153	в своем	5	2
154	что оно	7	2
155	не просто	7	2
156	только так	4	2
157	и тут	3	2
158	и по	2	2
159	есть только	3	2
160	тому как	4	2
161	но для	2	2
162	а что	2	2
163	в ней	5	2
164	что тут	7	2
165	что даже	2	2
166	ни на	6	2
167	о том	5	2
168	и ни	2	2
169	нет ни	3	2
170	а как	2	2
171	в этот	2	2
172	и та	3	2
173	однако в	2	2
174	он есть	7	2
175	лежит в	3	2
176	в жизни	5	2
177	надо было	3	2
178	быть в	5	2
179	то в	5	2
180	но именно	2	2
181	когда она	3	2
182	одной из	2	2
183	конечно не	2	2
184	о нем	2	2
185	себя в	2	2
186	вместе с	2	2
187	быть и	3	2
188	бы и	3	2
189	говорит о	3	2
190	и события	3	2
191	бы не	2	2
192	жизнь и	2	2
193	все равно	2	2
194	и как	4	2
195	хотя бы	4	2
196	с точки	9	2
197	в которой	2	2
198	той же	5	2
199	да еще	2	2
200	или в	7	2
201	мы можем	3	2
202	сам по	2	2
203	и об	3	2
204	подобно тому	4	2
205	и вообще	7	2
206	отличие от	2	2
207	это было	2	2
