N	2gram	Losev_Dial_3	Russkaja
1	не может	19	22
2	и не	27	19
3	в том	5	17
4	в этом	8	17
5	и в	24	14
6	то что	14	13
7	таким образом	13	11
8	то же	6	11
9	точки зрения	25	11
10	же время	3	10
11	но и	9	10
12	в то	5	10
13	том что	8	9
14	не только	23	9
15	в себе	2	9
16	с точки	14	9
17	может быть	13	9
18	во всяком	2	9
19	прежде всего	8	8
20	как на	5	8
21	ни к	3	7
22	отнюдь не	10	7
23	к тому	4	7
24	и если	2	7
25	не будет	3	7
26	самом деле	6	7
27	в данном	2	7
28	о том	6	7
29	и с	6	7
30	если бы	6	6
31	что он	13	6
32	и к	5	6
33	для него	4	6
34	для того	3	6
35	всяком случае	2	6
36	все это	6	6
37	в своем	3	6
38	и для	2	6
39	в своих	2	6
40	себя и	2	5
41	хотя бы	4	5
42	он должен	3	5
43	вопрос о	5	5
44	на то	3	5
45	и на	3	5
46	или иной	4	5
47	при этом	2	5
48	было бы	5	5
49	конечно не	4	5
50	он не	5	5
51	никогда не	7	5
52	в нем	3	5
53	и только	6	5
54	по существу	2	5
55	из которых	3	5
56	а в	2	5
57	потому что	7	5
58	только в	5	5
59	но не	2	4
60	не могут	4	4
61	что в	7	4
62	тогда когда	5	4
63	как и	7	4
64	все что	3	4
65	он будет	3	4
66	как бы	3	4
67	все же	3	4
68	себя в	2	4
69	бы то	2	4
70	жизни и	5	4
71	со стороны	2	4
72	от того	4	4
73	что же	11	4
74	в их	2	4
75	не в	3	4
76	и то	4	4
77	во всем	3	4
78	в его	2	4
79	так как	6	4
80	к этой	2	4
81	что это	12	3
82	можно ли	5	3
83	именно в	2	3
84	из этих	2	3
85	что все	14	3
86	при условии	3	3
87	и как	8	3
88	то в	2	3
89	так чтобы	2	3
90	должно быть	3	3
91	еще не	2	3
92	несмотря на	2	3
93	в самом	7	3
94	той или	2	3
95	но если	6	3
96	и потому	2	3
97	для этого	2	3
98	то это	9	3
99	что и	6	3
100	не есть	54	3
101	и т	24	3
102	из них	3	3
103	только к	2	3
104	не было	3	3
105	что оно	7	3
106	во что	4	3
107	того что	12	3
108	и по	2	3
109	друг друга	3	3
110	что для	5	3
111	или в	2	3
112	тем что	3	3
113	и во	2	3
114	в виде	8	3
115	говорить о	4	3
116	из этого	2	3
117	и ни	3	3
118	одна из	3	3
119	чтобы она	2	2
120	этого не	2	2
121	зависит от	2	2
122	сама по	4	2
123	должна быть	6	2
124	и есть	16	2
125	в частности	2	2
126	у него	2	2
127	но даже	3	2
128	бы его	2	2
129	и от	3	2
130	с этим	3	2
131	если только	4	2
132	точно так	2	2
133	ясно что	7	2
134	их не	2	2
135	или иного	2	2
136	по себе	20	2
137	ни в	9	2
138	уже не	5	2
139	следовательно и	2	2
140	так что	8	2
141	это есть	8	2
142	но это	5	2
143	есть и	12	2
144	не можем	2	2
145	отличается от	8	2
146	она не	3	2
147	совершенно не	2	2
148	сами эти	2	2
149	и о	3	2
150	но для	2	2
151	в ней	2	2
152	и является	2	2
153	но совершенно	2	2
154	если же	8	2
155	для себя	2	2
156	и тем	2	2
157	для нас	2	2
158	быть и	3	2
159	но она	3	2
160	ее в	2	2
161	на основании	2	2
162	даже не	6	2
163	– не	7	2
164	и тогда	5	2
165	тому что	4	2
166	целый ряд	2	2
167	даже если	2	2
168	если не	3	2
169	все эти	3	2
170	не просто	18	2
171	и вот	2	2
172	только на	7	2
173	и что	15	2
174	тем самым	3	2
175	а не	26	2
176	что такое	21	2
177	и даже	13	2
178	к нему	3	2
179	так же	4	2
180	в таком	14	2
181	людей и	2	2
182	их в	2	2
183	в силу	3	2
184	не о	2	2
185	даже и	7	2
186	раз навсегда	2	2
187	на себя	3	2
188	мы уже	3	2
189	того или	3	2
190	ни от	4	2
191	себя как	3	2
192	но в	2	2
