N	2gram	Medvedev_B	Problemy
1	и в	1	106
2	и не	2	90
3	а не	1	38
4	не только	1	36
5	в пределах	1	35
6	прежде всего	1	32
7	все это	2	29
8	и на	1	23
9	таким образом	1	22
10	все же	1	20
11	что в	1	19
12	еще не	1	18
13	на самом	1	18
14	так и	1	17
15	в своей	1	16
16	до конца	1	15
17	во всяком	1	12
18	за пределы	1	12
19	было бы	1	12
20	с другой	1	11
21	как будто	1	11
22	далеко не	1	10
23	другой стороны	1	9
24	всяком случае	1	9
25	и потому	1	9
26	должна быть	1	8
27	никак не	1	8
28	же не	1	8
29	и о	1	8
30	вопрос о	1	7
31	что все	1	7
32	не было	1	7
33	не о	1	7
34	между ними	1	7
35	и ее	1	7
36	кроме того	1	6
37	и нет	1	6
38	можно было	2	6
39	стиля и	1	6
40	и во	1	6
41	в речи	1	5
42	крайней мере	1	5
43	по крайней	1	5
44	совершенно не	1	5
45	не укладывается	1	5
46	в ней	2	5
47	не то	2	4
48	установка на	1	4
49	об этом	1	4
50	говорить о	1	3
51	в данном	1	3
52	о них	1	3
53	точке зрения	1	3
54	одной из	1	3
55	всего в	1	3
56	пожалуй и	1	3
57	будто бы	1	3
58	выходит за	1	3
59	на которой	1	3
60	у нас	3	3
61	со всем	1	2
62	значительной степени	1	2
63	представляется нам	1	2
64	нет но	1	2
65	также не	1	2
66	художественного произведения	1	2
67	отнюдь не	1	2
68	в значительной	1	2
69	литературных произведений	2	2
70	было и	1	2
71	видеть в	2	2
72	не все	1	2
73	не следует	1	2
74	в книге	1	2
75	к ней	1	2
76	его функцией	1	1
77	позиции на	1	1
78	но автор	1	1
79	понимания художественной	1	1
80	по этим	1	1
81	также что	1	1
82	как таковому	1	1
83	следовало бы	1	1
84	говорить не	1	1
85	не признать	1	1
86	точно и	1	1
87	произведения все	1	1
88	почти совершенно	1	1
89	об исторических	1	1
90	формализма и	1	1
91	художественная функция	1	1
92	бы только	1	1
93	выпадает из	1	1
94	художественном произведении	1	1
95	приемов построения	1	1
96	автором не	1	1
97	признать его	1	1
98	еще лучше	1	1
99	произведении что	1	1
100	можно в	1	1
101	является только	1	1
102	стоит на	1	1
103	целиком в	1	1
104	ведет по	1	1
105	а о	1	1
106	и более	1	1
107	как первый	1	1
108	говорить об	1	1
109	тем более	1	1
110	его не	1	1
111	нельзя не	1	1
112	своей книге	1	1
113	из своей	1	1
114	не склонен	1	1
115	в области	1	1
