N	3gram	Voloshinov_1	Dialekti
1	и т д	1	23
2	с точки зрения	10	14
3	в таком случае	2	10
4	тем не менее	2	10
5	не может быть	3	6
6	о том что	1	5
7	сам по себе	2	5
8	в самом деле	5	5
9	по крайней мере	1	5
10	в то время	1	4
11	с одной стороны	1	3
12	ни в каком	1	3
13	и прежде всего	5	3
14	в том что	4	3
15	то что мы	1	3
16	ничего не говорит	1	3
17	мы не можем	1	2
18	это и есть	1	2
19	к отцу и	2	2
20	что это не	1	2
21	в вопросе о	1	2
22	из того что	1	2
23	и нет ничего	1	2
24	тот или иной	1	2
25	и то же	1	2
26	в зависимости от	2	2
27	и тем не	1	2
28	самом деле что	1	2
29	не могут быть	3	2
30	это было бы	1	2
31	одно и то	1	2
32	во всяком случае	3	2
33	что же такое	2	2
34	иметь в виду	1	2
35	хотя и не	1	2
36	он и не	1	1
37	чем иным как	1	1
38	таким образом что	1	1
39	они утверждают что	1	1
40	в основе их	1	1
41	на самом деле	2	1
42	внешний мир в	2	1
43	и даже не	1	1
44	одной и той	1	1
45	том что в	1	1
46	д таким образом	1	1
47	социальные и даже	1	1
48	вывести из него	1	1
49	приходится принимать во	1	1
50	или по крайней	1	1
51	из этих двух	1	1
52	мы никогда не	1	1
53	бы то ни	1	1
54	только одна из	1	1
55	в обществе а	1	1
56	никакого отношения к	1	1
57	а следовательно и	2	1
58	далеко не всегда	3	1
59	в таком виде	1	1
60	– все это	4	1
61	другими словами мы	1	1
62	то в нем	1	1
63	не зная ни	1	1
64	друг на друга	1	1
65	в конечном счете	1	1
66	до сих пор	3	1
67	точки зрения в	1	1
68	в глубине души	1	1
69	возможно только в	1	1
70	с другой –	1	1
71	к нему и	1	1
72	о себе самом	1	1
73	он хочет быть	1	1
74	и той же	1	1
75	только потому что	1	1
76	того и другого	1	1
77	а иногда и	1	1
78	конечно с точки	1	1
79	не в силах	2	1
80	– это и	1	1
81	и ни в	1	1
82	связь с внешними	1	1
83	в то же	5	1
84	и в отношении	1	1
85	и к отцу	1	1
86	миф – это	1	1
87	ни в чем	2	1
88	и в вопросе	1	1
89	то же время	5	1
90	не приходится принимать	1	1
91	и не может	1	1
92	в этом отношении	2	1
93	и что оно	1	1
94	одна на другую	1	1
95	это вовсе не	1	1
96	в этом вопросе	1	1
97	не чем иным	1	1
98	принимать во внимание	1	1
99	тем что его	1	1
100	и вот когда	1	1
101	т д таким	1	1
102	оно превращается в	1	1
103	в данном случае	3	1
104	– одно из	2	1
105	и таким образом	1	1
106	– и в	1	1
