N	3gram	Losev_Prob_4	Istorich
1	и т д	3	24
2	так же как	1	12
3	до сих пор	1	5
4	точно так же	3	5
5	и то что	1	5
6	же как и	1	4
7	с другой стороны	6	4
8	но все же	1	4
9	что иное как	2	3
10	в данном случае	5	3
11	по сравнению с	1	3
12	в одном случае	2	3
13	на то что	1	3
14	не что иное	2	3
15	о том что	3	2
16	мы имеем в	1	2
17	то же самое	6	2
18	не только в	4	2
19	т д мы	1	2
20	содержит в себе	8	2
21	так и в	1	2
22	в другом случае	2	2
23	в связи с	3	2
24	тем не менее	10	2
25	по содержанию и	1	1
26	более высокую ступень	2	1
27	и может быть	1	1
28	на том что	1	1
29	потому что он	2	1
30	вовсе не есть	2	1
31	мы здесь имеем	1	1
32	но так как	1	1
33	здесь перед нами	5	1
34	между прочим и	1	1
35	но это только	1	1
36	как это мы	1	1
37	что в данном	2	1
38	в том числе	1	1
39	совершенно то же	1	1
40	у меня в	2	1
41	которые находятся в	1	1
42	себя не только	1	1
43	и не может	1	1
44	в зависимости от	3	1
45	что он не	1	1
46	таким образом к	1	1
47	не говорится но	1	1
48	дело вовсе не	1	1
49	совершенно ясно что	1	1
50	за то что	1	1
51	так и с	1	1
52	только при помощи	2	1
53	в основе своей	1	1
54	и тем что	1	1
55	и в других	2	1
56	все эти черты	1	1
57	о том как	1	1
58	даже если бы	1	1
59	мы видим и	1	1
60	то время как	2	1
61	не говорит о	1	1
62	здесь мы имеем	2	1
63	если бы мы	1	1
64	то что есть	1	1
65	в том как	1	1
66	и вместе с	1	1
67	не в том	1	1
68	одно и то	1	1
69	не случайно и	1	1
70	а в другом	1	1
71	был связан с	1	1
72	вместе с тем	3	1
73	есть не что	2	1
74	и даже в	1	1
75	не есть нечто	1	1
76	как будто бы	2	1
77	хотя бы на	1	1
78	а не просто	1	1
79	в то время	2	1
80	том что они	1	1
81	это и есть	1	1
82	об этом мы	1	1
83	но в одном	1	1
84	ничего общего с	2	1
85	и тем самым	1	1
86	и не хотел	1	1
87	религии но и	1	1
88	ничего не говорит	1	1
89	имеет в качестве	1	1
90	он пел и	1	1
91	не менее он	1	1
92	содержанию и по	1	1
93	к тому что	1	1
94	как и в	1	1
95	отметить то что	1	1
96	отсюда видно что	1	1
97	перед нами действительно	1	1
