N	3gram	Losev_Prob_5	KFilosof
1	по отношению к	2	21
2	не может быть	2	11
3	с точки зрения	8	10
4	может быть только	3	6
5	в чем не	1	4
6	ни в чем	1	4
7	в нем и	1	3
8	на самом деле	1	3
9	в этом смысле	3	3
10	между тем как	1	3
11	и в этом	1	3
12	то что я	1	2
13	на первом плане	3	2
14	ничего общего не	1	2
15	бы то ни	2	2
16	то или иное	1	2
17	то ни было	1	2
18	то же время	1	2
19	вопрос о том	1	2
20	той или иной	1	2
21	в то же	1	2
22	тем не менее	5	2
23	в том что	8	2
24	это уже не	2	1
25	на то что	2	1
26	человека но не	1	1
27	то что и	1	1
28	зависит от того	1	1
29	равно как и	2	1
30	в настоящее время	3	1
31	оставить в стороне	1	1
32	людей и их	3	1
33	не было и	1	1
34	с ним в	1	1
35	но это не	1	1
36	то что этот	1	1
37	здесь не в	1	1
38	несмотря на то	1	1
39	и не в	2	1
40	вместе с тем	3	1
41	и то что	3	1
42	и как бы	1	1
43	ту или иную	1	1
44	не потому что	1	1
45	но в то	1	1
46	в самом своем	1	1
47	на задний план	1	1
48	я есмь и	1	1
49	в нем не	1	1
50	дело в том	2	1
51	во всяком случае	2	1
52	как одно из	1	1
53	для того чтобы	2	1
54	и все же	1	1
55	по себе а	1	1
56	здесь вовсе не	1	1
57	не менее в	1	1
58	в большинстве случаев	1	1
59	в том смысле	1	1
60	и в его	1	1
61	не содержится в	1	1
62	а именно в	3	1
63	ясно что это	1	1
64	только тогда когда	3	1
65	общего не имеет	1	1
