N	4gram	Vinokur_St_1	Myshleni
1	заключается в том что	2	13
2	так же как и	1	4
3	одним и тем же	2	3
4	в том числе и	2	2
5	только в том что	1	2
6	с нашей точки зрения	1	2
7	том смысле как мы	1	1
8	одних и тех же	1	1
9	мы имеем дело с	1	1
10	невозможные с точки зрения	1	1
11	в том смысле как	1	1
12	в том отношении что	2	1
13	обратил внимание на то	1	1
14	с точки зрения задач	1	1
15	у нас нет никаких	1	1
16	внимание на то что	1	1
17	и на этот раз	1	1
18	ответа на вопрос о	1	1
19	в настоящем смысле этого	1	1
20	в этой области это	1	1
21	настоящем смысле этого слова	1	1
22	на вопрос о том	1	1
23	в то время как	1	1
24	что с точки зрения	1	1
25	той и другой стороны	1	1
26	в том что здесь	2	1
27	в том что он	1	1
28	не может не быть	1	1
29	нас нет никаких оснований	1	1
30	не отделены друг от	1	1
31	в том смысле что	1	1
32	бы они ни были	1	1
33	на то что в	2	1
34	отделены друг от друга	1	1
35	не говоря уже о	1	1
36	в том что в	2	1
