N	3gram	Berdyaev_M_2	PoTuStor
1	с точки зрения	1	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	в чем не	2	3
5	до сих пор	3	3
6	по сравнению с	1	3
7	не может быть	8	3
8	ни в чем	2	3
9	друг на друга	1	2
10	в нем нет	2	2
11	так же как	3	2
12	о том что	2	2
13	и в этом	3	2
14	во всех его	1	2
15	этап в развитии	1	1
16	его не интересует	1	1
17	в нем и	1	1
18	подобно тому как	2	1
19	же как и	3	1
20	в этой борьбе	1	1
21	но к чему	1	1
22	в свою противоположность	2	1
23	и та же	2	1
24	а может быть	1	1
25	в этом отношении	1	1
26	как и всегда	2	1
27	этим не преодолевается	1	1
28	вопрос можно ли	1	1
29	так как он	2	1
30	со всеми его	1	1
31	находится во власти	1	1
32	в высшей степени	3	1
33	в этом нет	1	1
34	человек не может	1	1
35	и на наших	1	1
36	один из моментов	1	1
37	в том что	2	1
38	в разных местах	1	1
39	на наших глазах	1	1
40	двойственное отношение к	1	1
41	его отношение к	4	1
42	это и есть	3	1
43	одна и та	2	1
44	жизни в этом	1	1
45	что иное как	3	1
46	есть прежде всего	5	1
47	на этом пути	2	1
48	не что иное	3	1
49	для того чтобы	4	1
50	мы увидим что	2	1
51	той или иной	1	1
